5
1000 2997
U 0 0
Q 0 0
Q 0 178
U 0 1
Q 0 0
Q 0 84
U 0 2
Q 1 2
Q 0 490
U 2 3
Q 2 1
Q 3 987
U 2 4
Q 2 2
Q 2 405
U 4 5
Q 2 4
Q 4 876
U 5 6
Q 0 6
Q 2 495
U 2 7
Q 7 3
Q 1 655
U 1 8
Q 4 3
Q 8 207
U 4 9
Q 0 0
Q 6 826
U 9 10
Q 6 5
Q 7 82
U 9 11
Q 10 1
Q 9 972
U 1 12
Q 9 6
Q 8 30
U 4 13
Q 0 0
Q 12 421
U 8 14
Q 5 9
Q 7 44
U 14 15
Q 7 4
Q 14 195
U 12 16
Q 13 1
Q 5 787
U 12 17
Q 3 7
Q 3 882
U 2 18
Q 1 6
Q 7 464
U 11 19
Q 14 8
Q 4 453
U 1 20
Q 7 17
Q 11 125
U 11 21
Q 8 9
Q 4 583
U 18 22
Q 12 11
Q 0 361
U 12 23
Q 16 1
Q 5 509
U 5 24
Q 4 16
Q 11 400
U 15 25
Q 18 3
Q 22 198
U 18 26
Q 19 14
Q 22 90
U 12 27
Q 26 10
Q 23 278
U 1 28
Q 24 22
Q 23 767
U 10 29
Q 26 6
Q 2 252
U 23 30
Q 19 29
Q 17 622
U 9 31
Q 24 14
Q 19 219
U 8 32
Q 17 4
Q 17 992
U 16 33
Q 0 14
Q 19 201
U 8 34
Q 33 2
Q 27 296
U 7 35
Q 0 10
Q 3 454
U 10 36
Q 27 32
Q 25 973
U 1 37
Q 33 3
Q 28 292
U 30 38
Q 30 10
Q 10 116
U 0 39
Q 24 28
Q 21 747
U 2 40
Q 24 31
Q 26 331
U 26 41
Q 31 16
Q 20 318
U 1 42
Q 9 17
Q 6 147
U 38 43
Q 36 37
Q 38 244
U 23 44
Q 10 39
Q 13 863
U 36 45
Q 16 25
Q 18 253
U 45 46
Q 26 34
Q 6 235
U 6 47
Q 25 47
Q 37 547
U 13 48
Q 44 35
Q 21 473
U 46 49
Q 28 6
Q 8 794
U 24 50
Q 25 24
Q 16 770
U 18 51
Q 36 30
Q 32 768
U 29 52
Q 15 3
Q 47 206
U 23 53
Q 39 38
Q 46 540
U 9 54
Q 17 25
Q 31 839
U 51 55
Q 40 38
Q 9 798
U 32 56
Q 14 23
Q 20 831
U 28 57
Q 46 49
Q 0 712
U 48 58
Q 56 21
Q 57 827
U 11 59
Q 38 17
Q 11 136
U 49 60
Q 47 7
Q 59 599
U 14 61
Q 59 12
Q 23 196
U 16 62
Q 54 53
Q 60 661
U 6 63
Q 59 61
Q 45 246
U 5 64
Q 5 9
Q 3 613
U 50 65
Q 48 36
Q 51 737
U 34 66
Q 11 34
Q 14 99
U 1 67
Q 51 26
Q 24 606
U 29 68
Q 65 19
Q 40 461
U 8 69
Q 24 45
Q 7 451
U 41 70
Q 2 19
Q 53 926
U 19 71
Q 55 31
Q 64 72
U 17 72
Q 0 16
Q 62 955
U 52 73
Q 66 73
Q 38 852
U 27 74
Q 37 18
Q 66 342
U 59 75
Q 4 7
Q 28 169
U 32 76
Q 16 17
Q 46 596
U 20 77
Q 67 41
Q 61 814
U 25 78
Q 41 41
Q 9 872
U 39 79
Q 12 40
Q 71 863
U 8 80
Q 18 36
Q 66 681
U 1 81
Q 66 69
Q 80 663
U 8 82
Q 77 41
Q 55 639
U 12 83
Q 33 61
Q 51 250
U 83 84
Q 43 44
Q 59 191
U 3 85
Q 16 82
Q 29 585
U 17 86
Q 57 25
Q 86 874
U 14 87
Q 48 41
Q 14 312
U 8 88
Q 68 65
Q 67 906
U 87 89
Q 26 61
Q 31 447
U 23 90
Q 57 80
Q 36 738
U 65 91
Q 49 80
Q 76 270
U 23 92
Q 48 62
Q 4 964
U 64 93
Q 27 13
Q 2 430
U 37 94
Q 77 26
Q 93 971
U 49 95
Q 51 58
Q 86 520
U 38 96
Q 49 35
Q 82 237
U 19 97
Q 12 31
Q 33 938
U 70 98
Q 20 91
Q 41 343
U 72 99
Q 45 70
Q 51 981
U 78 100
Q 4 60
Q 73 131
U 93 101
Q 62 30
Q 17 794
U 60 102
Q 53 93
Q 44 916
U 51 103
Q 88 8
Q 21 397
U 81 104
Q 103 72
Q 91 665
U 18 105
Q 10 96
Q 54 383
U 13 106
Q 29 15
Q 51 390
U 77 107
Q 7 101
Q 73 686
U 35 108
Q 67 30
Q 107 300
U 37 109
Q 30 11
Q 84 921
U 77 110
Q 13 54
Q 22 215
U 64 111
Q 9 32
Q 43 706
U 108 112
Q 77 2
Q 3 691
U 9 113
Q 97 104
Q 53 532
U 14 114
Q 54 67
Q 91 410
U 27 115
Q 66 38
Q 2 427
U 68 116
Q 91 104
Q 81 445
U 99 117
Q 58 111
Q 23 289
U 91 118
Q 83 105
Q 79 993
U 94 119
Q 4 20
Q 65 383
U 8 120
Q 71 54
Q 88 577
U 27 121
Q 52 33
Q 99 458
U 36 122
Q 49 108
Q 61 747
U 90 123
Q 9 37
Q 80 286
U 35 124
Q 14 85
Q 43 354
U 17 125
Q 67 50
Q 120 842
U 57 126
Q 94 34
Q 104 838
U 86 127
Q 58 45
Q 122 725
U 109 128
Q 22 10
Q 109 967
U 74 129
Q 39 57
Q 123 436
U 53 130
Q 122 62
Q 50 518
U 72 131
Q 108 125
Q 104 144
U 131 132
Q 100 105
Q 105 151
U 116 133
Q 31 80
Q 109 833
U 43 134
Q 4 37
Q 104 792
U 52 135
Q 114 133
Q 101 799
U 95 136
Q 9 132
Q 82 805
U 93 137
Q 71 31
Q 21 371
U 6 138
Q 131 105
Q 21 394
U 73 139
Q 76 45
Q 24 702
U 126 140
Q 48 33
Q 113 472
U 111 141
Q 105 37
Q 127 474
U 107 142
Q 53 93
Q 45 726
U 130 143
Q 61 90
Q 93 638
U 97 144
Q 144 44
Q 144 147
U 50 145
Q 76 126
Q 78 424
U 88 146
Q 42 7
Q 114 289
U 105 147
Q 45 37
Q 74 839
U 25 148
Q 27 108
Q 33 964
U 23 149
Q 127 109
Q 145 880
U 119 150
Q 11 118
Q 137 614
U 37 151
Q 79 75
Q 51 685
U 47 152
Q 120 105
Q 28 196
U 64 153
Q 47 5
Q 30 182
U 136 154
Q 86 87
Q 93 451
U 13 155
Q 79 25
Q 53 764
U 52 156
Q 131 7
Q 156 519
U 58 157
Q 38 74
Q 79 467
U 63 158
Q 28 15
Q 150 488
U 79 159
Q 111 154
Q 8 185
U 90 160
Q 1 88
Q 74 195
U 154 161
Q 12 83
Q 161 709
U 156 162
Q 39 29
Q 140 814
U 72 163
Q 58 135
Q 85 679
U 26 164
Q 101 106
Q 96 451
U 98 165
Q 59 92
Q 35 755
U 21 166
Q 20 105
Q 155 479
U 9 167
Q 102 166
Q 48 741
U 137 168
Q 130 67
Q 115 820
U 155 169
Q 141 137
Q 28 395
U 119 170
Q 97 20
Q 123 620
U 138 171
Q 134 113
Q 9 901
U 84 172
Q 116 129
Q 81 972
U 162 173
Q 169 80
Q 11 475
U 133 174
Q 27 155
Q 120 748
U 71 175
Q 89 174
Q 86 835
U 101 176
Q 18 76
Q 23 250
U 66 177
Q 42 102
Q 46 985
U 81 178
Q 58 124
Q 1 306
U 90 179
Q 54 168
Q 155 904
U 173 180
Q 8 1
Q 162 737
U 158 181
Q 94 34
Q 130 552
U 39 182
Q 167 115
Q 135 484
U 85 183
Q 183 118
