5
10 27
U 0 0
Q 0 0
Q 0 8
U 0 1
Q 0 1
Q 1 3
U 1 2
Q 2 0
Q 2 7
U 2 3
Q 0 3
Q 0 8
U 1 4
Q 0 4
Q 3 7
U 4 5
Q 2 3
Q 2 9
U 5 6
Q 1 0
Q 0 7
U 3 7
Q 4 3
Q 5 9
U 4 8
Q 3 7
Q 0 9
10 20
Q 5 7
U 2 4
Q 5 8
U 3 0
Q 3 1
U 9 4
Q 9 6
U 6 6
Q 0 6
U 8 6
Q 3 2
U 8 0
Q 8 4
U 7 0
Q 3 4
U 3 9
Q 1 5
U 5 8
Q 6 9
U 0 9
10 27
U 0 0
Q 0 0
Q 0 3
U 0 1
Q 0 0
Q 0 6
U 0 2
Q 1 2
Q 1 7
U 2 3
Q 1 3
Q 1 8
U 3 4
Q 4 3
Q 0 7
U 1 5
Q 0 2
Q 2 9
U 3 6
Q 2 5
Q 6 7
U 1 7
Q 0 7
Q 6 9
U 3 8
Q 3 1
Q 4 9
10 20
Q 3 9
U 0 9
Q 1 7
U 8 7
Q 0 1
U 9 1
Q 1 9
U 3 2
Q 8 8
U 5 5
Q 4 5
U 3 1
Q 5 4
U 9 9
Q 1 7
U 9 7
Q 9 1
U 6 0
Q 8 6
U 9 1
10 27
U 0 0
Q 0 0
Q 0 2
U 0 1
Q 1 1
Q 0 5
U 0 2
Q 2 2
Q 2 3
U 0 3
Q 0 1
Q 2 7
U 2 4
Q 4 4
Q 3 8
U 2 5
Q 3 1
Q 5 7
U 0 6
Q 5 6
Q 5 8
U 0 7
Q 7 7
Q 1 9
U 2 8
Q 3 8
Q 3 9
10 20
Q 1 3
U 9 6
Q 3 6
U 1 3
Q 3 4
U 6 5
Q 0 9
U 6 5
Q 6 5
U 1 9
Q 2 7
U 2 3
Q 5 3
U 3 8
Q 6 7
U 3 8
Q 2 2
U 6 6
Q 1 7
U 9 4
10 27
U 0 0
Q 0 0
Q 0 7
U 0 1
Q 1 0
Q 1 2
U 1 2
Q 2 1
Q 1 4
U 0 3
Q 0 0
Q 3 7
U 0 4
Q 1 4
Q 1 9
U 0 5
Q 2 2
Q 3 9
U 0 6
Q 6 3
Q 5 7
U 0 7
Q 5 6
Q 3 8
U 6 8
Q 1 6
Q 5 9
10 20
Q 5 4
U 9 9
Q 5 8
U 5 1
Q 9 2
U 2 6
Q 4 6
U 1 8
Q 4 4
U 0 6
Q 1 3
U 5 3
Q 3 2
U 1 0
Q 4 3
U 8 1
Q 7 7
U 0 4
Q 7 6
U 7 6
10 27
U 0 0
Q 0 0
Q 0 4
U 0 1
Q 0 1
Q 1 7
U 1 2
Q 2 1
Q 1 6
U 0 3
Q 0 1
Q 1 4
U 2 4
Q 4 2
Q 0 6
U 0 5
Q 5 3
Q 0 9
U 5 6
Q 2 6
Q 1 9
U 6 7
Q 5 1
Q 0 8
U 6 8
Q 2 5
Q 8 9
10 20
Q 8 8
U 8 0
Q 5 5
U 8 1
Q 2 4
U 3 2
Q 5 4
U 0 4
Q 3 0
U 7 6
Q 3 1
U 7 2
Q 9 9
U 6 9
Q 9 0
U 7 8
Q 0 5
U 0 8
Q 2 8
U 9 7
